World,Object,Object_name,x,z,range,Expected_Action,minimap_marker,Note
RocketLaunch,Place,Launch Control,-1575,2772,,,Yes,NPC here
,,Labs and Testing,-1520,2741,,,Yes,Several NPC's here
,,Rocket,-1615,2911,,,Yes,Very large area
,,Rocket Construction,-1600,2747,,,Yes,Very large area
,NPCs,Attendant,-1565,2731,,,,tells players to meet people
,,Asteroid mining,-1562,2738,,,Yes,talks about asteroid mining for money
,,Mars rover,-1562,2751,,,Yes,rovers are cloned to troubleshoot
,,Materials scientist,-1570,2738,,,Yes,space elevator
,,Mission coordinator,-1577,2746,,,Yes,explains difference between mission control
,,Computer scientist,-1576,2751,,,Yes,"fixing computers, nearby launch control"
,,Trainee,-1555,2737,,,,directs players to training area
,,Anjali,-1608,2706,,,Yes,re-usable rockets quest
,,Payload oversight,-1611,2712,,,Yes,loading satellite into rocket top
,,Logistics,-1575,2770,,,Yes,explains shipping and supplies
,,Historian,-1572,2883,,,Yes,say space shuttle is retired
,,Electrician,-1612,2734,,,exploration,talks AC vs DC current
,,Shuttle sim,-1523,2743,,,,pilot simulation
,,Training director,-1531,2742,,,exploration,centripedal force testing
,,Psychologist,-1532,2745,,,exploration,observing isolated trainees
,,Mechanic,-1565,2840,,,,repairing shuttle for safety and heat damage
LunarCrater,Global,NA,,,,"/gravity, /temperature, /pressure, /airflow, /oxygen",,
,Place,PBS observatory,-215,33,"(-218,26) (-218,36) (-210,36) (-210,26)",,Yes,"has link to PBS nova, explains why observe from moon"
,,Lava tube 1,-85,40,,,exploration,mysterious caves that are lava tube remnants
,,Lava tube 2,129,41,,,exploration,mysterious caves that are lava tube remnants
,,Construction Rover,73,-44,,,Yes,
,,Mushroom Lab,,,,,Yes,
,,Storage tanks,-45,14,,,Yes,
,,Suit up!,-17,183,,,Yes,
,NPCs,Recent arrival roger,-23,192,,,,beckons explorers to do quests
,,Administrator Wells,-6,164,,/gravity,,promptsjump gravity observation
,,Administrator Heinlein,-13,172,,,,explains space suit is needed
,,Overseer Blair,10,-5,,,Yes,quest to meet scientists
,,Biology Huxley,-32,-21,,"/humidity, /airflow",Yes,explains biodome
,,Facility manager Herbert,25,-65,,,Yes,bidome ventilation quest
,,Materials scientist Olivia,55,-13,,/oxygen,Yes,quest to find leak
,,Seismologist Misavo,67,105,,/temperature,Yes,quest for ice storage
,,Construction engineer Harlem,37,39,,/pressure,Yes,quest to check if airlock works
,,Solar engineer,-39,-54,,/radiation,Yes,off-chart exploration
NoMoon,Global,NA,,,,"/tides, /wind, /airflow",,strongly hints to observe and compare /airflow and /wind
,Place,Greenhouse,-2,4,"(-1,14) (-9,14) (-9,9) (-5,9) (-5,7) (-1,7)","/wind, /airflow, /temperature, /humidity",Yes,
,,Turbine control,-95,50,"(-105,49) (-95,49) (-95,52) (-100,57) (-105,58)",,Yes,
,,Wind Turbine,-136,107,"(-136,107) (-142,107) (-142,123) (-136,123)",,Yes,
,,Landed spaceship,-70,-23,"(-70,-23) (-55,-23) (-55,-8) (-70,-8)",,,It's kind of a distraction because kids may be thinking to leave the level
,,Ground water,-85,-50,"(-85,-50) (-77,-50) (-77,-57) (-85,-57)","/temperature, /humidity, /pressure, /composition",exploration,"This is a pit below sea level, the settings picked up are just the ocean"
,,Hot Spring,-254,-227,"(-254,-227) (-221,-227) (-221,-205) (-254,-205)","/temperature, /humidity, /pressure, /composition, /tides",Yes,"region ID spring-lake-1, there are floating hints for it"
,,Wind-stripped south,-420,190,"(-420,190) (420,190) (420,480) (-420,480)",,,
,,Wind-stripped east,200,190,"(200,190) (440,190) (440,-250) (200,-250)",,,
,,Wind-stripped north,440,-250,"(440,-250) (-450,-250) (-450,-450) (440,-450)",,,
,,Wind-stripped west,-450,-250,"(-450,-250) (-280,-250) (-280,190) (-450,190)",,,
,NPCs,TravelAuthority,-2,1,,/observe,,prompt to use /observe; visit botanist Tanya
,,Botanist,-1,12,,/wind,,assign observation with wind quest
,,ElectricalEngineer,-101,52,,,,
ColderStrip,Global,NA,,,,"/tides, /year, /temperature, /humidity, /wind",,The biome bands have varying climate info
,Place,Bridge/Skyway,-89,-13,"(-89,-19) (268,-19) (268,-14) (-89,-14)",,,"Speed boost in this area, could be a point of distraction"
,NPCs,Jorge the ArtistAstronomer,-151,4,,,,assign quest to see each side
ColderHot,Global,NA,,,,"/tides, /year, /wind, /rotational_period",,
,Place,Underground shelter,-68,-47,"(-68,-47) (-100,-90)","/temperature, /humidity, /radiation",,
,,SolarPanel,-103,-40,"(-103,-40) (-86,-50)",,Yes,
,NPCs,TeamLeader,-78,-55,,,,explore and meet other NPCs
,,ElectricalEngineer,-100,-45,,,,
,,Hydrologist,-93,-85,,,,
,,Xenobiologist,-86,-90,,,Yes,
ColderCold,Global,NA,,,,"/tides, /year, /wind, /rotational_period",,
,Place,Cold side cave entrance,-77,-48,"(-91,-44) (-55,-18)","/temperature, /humidity, /radiation",,
,,Underground complex,-84,-41,"(-94,-41) (-76,-59)",/temperature,Yes,
,NPCs,TravelAuthority,-83,-41,,"visit -84, -41",,talk to Botanist Vera
,,Botanist,-84,-32,,,,
,,HydroEngineer,-60,-34,,,,
,,PowerController,-62,-23,,,Yes,
TiltedWarm,Global,NA,,,,"/tides, /radiation, /humidity, /temperature, /tilt",,
,Place,Heat Vents,418,-823,,"/temperature, /pressure",Yes,
,,Helicopter,358,-341,,,Yes,
,Animals,Bears,352,48,,,Yes,
,,Rabbits,122,110,,,Yes,
,,Axolotls,213,-83,,,Yes,
,,Birds,278,345,,,Yes,
,NPCs,QuantumAstrochemist,192,174,,,Yes,assign quest time traveler
